Account,date,Net PnL,Size USD,Fee,Trade Count,sentiment_value,rolling_7d_Net PnL_mean,rolling_7d_Net PnL_std,rolling_7d_Size USD_mean,rolling_7d_Size USD_std,rolling_7d_Trade Count_mean,rolling_7d_Trade Count_std,next_day_pnl,target_profitable,target_volatility,pred_profitability,pred_volatility
0x271b280974205ca63b716753467d5a371de622ab,2025-04-22,-20415.196179,4817869.23,1377.855618,594,47.0,3070.0442330000005,11553.281390449783,3336402.4199999995,2557155.064245733,466.1428571428572,302.57364314131775,-110663.971266,0,59835.14858943808,1,15117.04789385839
0x271b280974205ca63b716753467d5a371de622ab,2025-04-23,-110663.971266,9394438.39,2487.052566,469,72.0,-12764.049912,44670.80197759633,4655875.911428572,2990137.283761816,532.5714285714286,225.4061941938428,7883.874984,1,61912.93710244261,1,59304.98747991
0x271b280974205ca63b716753467d5a371de622ab,2025-04-24,7883.874984,1092249.57,273.237342,70,63.0,-13855.746311,43951.800730655945,4113772.53,3271962.2055532075,428.7142857142857,249.46390138703052,0.0,0,66285.06854443044,0,59492.87559881305
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-18,109.944479,108044.6,37.465806,162,83.0,136.60465,23.11474286553911,58794.61000000001,42655.75338571692,116.66666666666669,39.272551907577046,166.548797,1,29.249858058479614,1,911.6206710361242
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-19,166.548797,190840.29,66.816663,213,90.0,144.09068675,24.09060418605969,91806.03,74645.99296859589,140.75,57.864064841661445,-614.557523,0,435.5521941287472,0,2667.2019534758083
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-20,-614.557523,874868.16,298.312315,407,83.0,-7.638955199999986,339.918650766493,248418.456,356112.73227410467,194.0,129.1859125446734,668.352352,1,646.5023380116393,1,1578.7061101079519
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-21,668.352352,325137.18,111.648962,446,82.0,105.02626266666668,410.6049917046689,261204.91,320053.0938852915,236.0,154.71005138645646,79.017439,1,642.1603661296418,1,638.6669718102322
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-22,79.017439,182730.29,62.202151,433,94.0,101.31071642857144,374.9582461167172,249994.25,293668.8691447198,264.1428571428572,159.6563273320004,655.855175,1,336.7030325542307,1,660.732423278092
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-23,655.855175,52019.64,17.776025,156,93.0,173.74271342857145,430.5226899195272,252460.69,291625.2352471896,273.1428571428572,149.87709250296675,103.851283,1,326.10499082978606,1,516.4736465789252
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-24,103.851283,13851.0,4.469844,69,80.0,167.00171457142855,431.3061465434816,249641.5942857143,294177.92459785385,269.42857142857144,155.25340269256273,439.829749,1,278.16566139542994,1,484.76524791476885
